CRN,Course,Sec,Seats,Title,Days,Times,Instructor,Loc,Class Info
00007,ACCT 1A,67Z,WL,"Financial Accounting IView FootnoteACCT-001A-67Z: Fully ONLINE. This class does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382 . The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning .",·······,TBA-TBA,Scott Osborne,ONLINE,OL Download Syllabus for ACCT 1A 67Z 
00022,ACCT 1A,68Z,WL,"Financial Accounting IView FootnoteACCT-001A-02Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning .",·······,TBA-TBA,Sandra Li,ONLINE,OL 
27878,ACCT 1AH,04Z,Open,"Financial Accounting I - HONORSView FootnoteACCT-001AH-04Z: : Honors class, need permission from instructor to add, please attend class on first week of the quarter and obtain and Add Code. Fully ONLINE. This is an online class with SOME scheduled meetings as noted in the class listing. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning. 
",·T·R···,12:30 PM-02:20 PM,Mia Breen,ONLINE,OL 
TBA,·······,TBA-TBA,,,,,,,
27684,ACCT 1B,02Z,Open,"Financial Accounting IIView FootnoteACCT-001B-02Z:: Fully ONLINE. This is an online class with SOME scheduled meetings as noted in the class listing. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",M·W····,06:00 PM-07:50 PM,Michael Riordan,ONLINE,OL 
TBA,·······,TBA-TBA,,,,,,,
27685,ACCT 1B,03Z,WL,"Financial Accounting IIView FootnoteACCT-001B-03Z:: Fully ONLINE. This is an online class with SOME scheduled meetings as noted in the class listing. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",M·W····,01:30 PM-02:20 PM,Catherina Wong,ONLINE,OL 
TBA,·······,TBA-TBA,,,,,,,
22465,ACCT 1B,62Z,WL,"Financial Accounting IIView FootnoteACCT-001B-62Z: Fully ONLINE. This class does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382 . The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning .",·······,TBA-TBA,Sandra Li,ONLINE,OL 
27897,ACCT 1BH,03Z,Open,"Financial Accounting II - HONORSView FootnoteACCT-001BH-03Z:: Honors class, need permission from instructor to add, please attend class on first week of the quarter and obtain and Add Code. Fully ONLINE. This is an online class with SOME scheduled meetings as noted in the class listing. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",M·W····,01:30 PM-02:20 PM,Catherina Wong,ONLINE,OL 
TBA,·······,TBA-TBA,,,,,,,
27690,ACCT 1C,01Z,WL,"Managerial AccountingView FootnoteACCT-001C-01Z:: Fully ONLINE. This is an online class with SOME scheduled meetings as noted in the class listing. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·T·····,10:00 AM-11:50 AM,Lih Hung,ONLINE,OL 
TBA,·······,TBA-TBA,,,,,,,
27691,ACCT 1C,02Z,WL,"Managerial AccountingView FootnoteACCT-001C-02Z:: Fully ONLINE. This is an online class with SOME scheduled meetings as noted in the class listing. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",M·W····,09:30 AM-11:20 AM,Lakshmamma Venkata,ONLINE,OL 
TBA,·······,TBA-TBA,,,,,,,
00041,ACCT 1C,62Z,WL,"Managerial AccountingView FootnoteACCT-001C-62Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.
",·······,TBA-TBA,Scott Osborne,ONLINE,OL Download Syllabus for ACCT 1C 62Z 
25916,ACCT 1C,65Z,WL,"Managerial AccountingView FootnoteACCT-001C-65Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.
",·······,TBA-TBA,Lydia Botsford,ONLINE,OL 
27212,ACCT 51A,62Z,Open,"Intermediate AccountingView FootnoteACCT-51A-62Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·······,TBA-TBA,Kevin Mello,ONLINE,OL Download Syllabus for ACCT 51A 62Z 
27694,ACCT 58,62Z,Open,"AuditingView FootnoteACCT-58-62Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·······,TBA-TBA,John Lord,ONLINE,OL 
24843,ACCT 64,62Z,Open,"Payroll and Business Tax AccountingView FootnoteACCT-064.-62Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.
",·······,TBA-TBA,Lauri Hammond,ONLINE,OL 
24722,ACCT 67,62Z,Open,"Individual Income TaxationView FootnoteACCT-067.-62Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.
",·······,TBA-TBA,Lydia Botsford,ONLINE,OL 
27187,ACCT 68,64Z,Open,"Advanced Tax AccountingView FootnoteACCT-68-64Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·······,TBA-TBA,Lydia Botsford,ONLINE,OL 
24561,ACCT 74,62Z,Open,"Accounting EthicsView FootnoteACCT-074.-62Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommenda laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.
",·······,TBA-TBA,Alexis James,ONLINE,OL 
27695,ACCT 87AI,62Z,Open,"Computerized Accounting Programs I (Quickbooks)View FootnoteACCT-87AI-62Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·······,TBA-TBA,Lauri Hammond,ONLINE,OL 
25924,ACCT 88,65Z,Open,"Excel Spreadsheets for AccountingView FootnoteACCT-088.-65Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.
",·······,TBA-TBA,Lauri Hammond,ONLINE,OL 
27742,ADMJ 3,50Z,Open,"Concepts of Criminal Law (CP 2)View FootnoteADMJ 3.50Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·······,TBA-TBA,James Suits,ONLINE,OL 
26985,ADMJ 6,50Z,WL,"Crime, Correction and SocietyView FootnoteADMJ 6.50Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·······,TBA-TBA,Ramona Gabriel,ONLINE,OL 
27736,ADMJ 11,01Z,Open,"Federal Courts and Constitutional LawView FootnoteADMJ 11.01Z: Fully ONLINE. This is an online class with SOME scheduled meetings as noted in the class listing. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",··W····,06:00 PM-07:50 PM,Kevin Lee,ONLINE,OL 
CLAS,·······,TBA-TBA,,,,,,,
24340,ADMJ 29,65Z,WL,"Ethnic Studies, Cultural Pluralism, and American Law and JusticeView FootnoteADMJ-029.-65Z: Online Course. Students must have access to a computer, the Web and an individual e-mail address. Exclusively using a tablet or phone may prevent you from successfully completing a course.  Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382
",·······,TBA-TBA,Meghan Kensler,ONLINE,OL 
26987,ADMJ 51,50Z,WL,"Women in CrimeView FootnoteADMJ 51.50Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·······,TBA-TBA,Ramona Gabriel,ONLINE,OL 
27739,ADMJ 54,50Z,WL,"Youth and the LawView FootnoteADMJ 54.50Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·······,TBA-TBA,DuJuan Green,ONLINE,OL 
27680,ADMJ 73,01Z,WL,"Crime and CriminologyView FootnoteADMJ 73.01Z: Fully ONLINE. This is an online class with SOME scheduled meetings as noted in the class listing. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",···R···,06:00 PM-07:50 PM,James Suits,ONLINE,OL 
CLAS,·······,TBA-TBA,,,,,,,
26438,ADMJ 75,01Z,WL,"Principles and Procedures of the Justice SystemView FootnoteADMJ-075.-01Z-:  This is an online class with SOME scheduled meetings as noted in the class listing. Recordings of the class meetings will be available. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning. ",M······,06:00 PM-07:50 PM,Griffin Bonini,ONLINE,OL 
CLAS,·······,TBA-TBA,,,,,,,
26991,ADMJ 95,01Z,Open,"Overview of American LawView FootnoteADMJ-95.-01Z-: This is an online class with SOME scheduled meetings as noted in the class listing. Recordings of the class meetings will be available. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",··W····,06:00 PM-07:50 PM,"BERNARDO, SHERYL",ONLINE,OL 
CLAS,·······,TBA-TBA,,,,,,,
26996,AFAM 10,60Z,Open,"An Introduction to African American StudiesView FootnoteAFAM-010.-60Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning .",·······,TBA-TBA,Julie Keiffer-Lewis,ONLINE,OL 
27608,AFAM 10,61Z,Open,"An Introduction to African American StudiesView FootnoteAFAM D010.61Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·······,TBA-TBA,Shanita Ealey,ONLINE,OL 
27966,AFAM 10,62Z,Open,"An Introduction to African American StudiesView FootnoteAFAM D010.62Z: Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·······,TBA-TBA,Julie Keiffer-Lewis,ONLINE,OL 
26420,AFAM 12A,60Z,Open,"African American History to 1865View FootnoteAFAM-012A-60Z: Fully ONLINE. This class does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382 . The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·······,TBA-TBA,Julie Keiffer-Lewis,ONLINE,OL 
27735,ANTH 1,50Z,Open,"Physical AnthropologyView FootnoteANTH-001.-50Z-: This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning. 
",·······,TBA-TBA,"FELDMAN, AMANDA",ONLINE,OL 
28010,ANTH 1,51Z,Full,"Physical AnthropologyView FootnoteANTH 1.51Z-:  Late start, 8- weeks, class begins on 10/23/23. Fully ONLINE. This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·······,TBA-TBA,Elisabeth-Anne Mabie,ONLINE,OLLQ 
00076,ANTH 1,52Z,Full,"Physical AnthropologyView FootnoteANTH-001.-52Z-:  This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.
",·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL 
00082,ANTH 1,55Z,WL,"Physical AnthropologyView FootnoteANTH-001.-55Z-:  This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.
",·······,TBA-TBA,Emily Beggs,ONLINE,OL 
00083,ANTH 1,56Z,Open,"Physical AnthropologyView FootnoteANTH-001.-56Z-:  This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.
",·······,TBA-TBA,Emily Beggs,ONLINE,OL 
27301,ANTH 1,57Z,Open,"Physical AnthropologyView FootnoteANTH-001.-57Z-: This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·······,TBA-TBA,Leslie Berry,ONLINE,OL 
22301,ANTH 1,62Z,Open,"Physical AnthropologyView FootnoteANTH-001.-62Z: This is an online class that does not have scheduled meetings. Students can log in anytime to do the required weekly course work. Students must have access to a computer, the internet and an individual email address. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.
",·······,TBA-TBA,Julie Hui,ONLINE,OL 
00086,ANTH 1L,51Z,WL,"Physical Anthropology LaboratoryView FootnoteANTH-001L-51Z-:  The lecture and laboratory do not have scheduled meetings and can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.
",·······,TBA-TBA,Elisabeth-Anne Mabie,ONLINE,OL 
21056,ANTH 1L,52Z,WL,"Physical Anthropology LaboratoryView FootnoteANTH-001L-52Z-:  The lecture and laboratory do not have scheduled meetings and can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.
",·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL 
