CRN,Course,Section,Title,Days,Times,Instructor,Loc,Class Info
26674,KNES 12E,01,Intermediate KarateView Footnote,M·W····,06:00 PM-06:50 PM,Pete Rabbitt,PE15,
26583,KNES 12G,01,Self-DefenseView Footnote,M·W····,12:30 PM-01:20 PM,Pete Rabbitt,PE14,
27807,KNES 15AX,01,Cross TrainingView Footnote,M·W····,08:30 AM-09:45 AM,Rachel Catuiza,PE15,
27806,KNES 15CX,01,Total FitnessView Footnote,M·W····,08:30 AM-09:45 AM,Rachel Catuiza,PE15,
23416,KNES 15CX,02Z,Total FitnessView Footnote,·······,TBA-TBA,Rachel Catuiza,ONLINE,OL
27140,KNES 15CX,50Z,Total FitnessView Footnote,·······,TBA-TBA,Rachel Catuiza,ONLINE,OLLQ
27137,KNES 15CX,53Z,Total FitnessView Footnote,·······,TBA-TBA,Jason Damjanovic,ONLINE,OL
23479,KNES 15EX,03Z,Cardiovascular and Strength TrainingView Footnote,·······,TBA-TBA,Rachel Catuiza,ONLINE,OL
27138,KNES 15EX,50Z,Cardiovascular and Strength TrainingView Footnote,·······,TBA-TBA,Jason Damjanovic,ONLINE,OL
27142,KNES 15EX,51Z,Cardiovascular and Strength TrainingView Footnote,·······,TBA-TBA,Rachel Catuiza,ONLINE,OLLQ
27333,KNES 16AX,01,Fit CampView Footnote,M·W····,07:00 AM-08:15 AM,Rachel Catuiza,PE14,
26593,KNES 19EX,50Z,Body SculptingView Footnote,·······,TBA-TBA,Rachel Catuiza,ONLINE,OL
26595,KNES 19EX,51Z,Body SculptingView Footnote,·······,TBA-TBA,Rachel Catuiza,ONLINE,OLLQ
27805,KNES 19GX,01,Core ConditioningView Footnote,M·W····,08:30 AM-09:45 AM,Rachel Catuiza,PE15,
26592,KNES 19GX,50Z,Core ConditioningView Footnote,·······,TBA-TBA,Danielle Altman,ONLINE,OL
26596,KNES 19GX,51Z,Core ConditioningView Footnote,·······,TBA-TBA,Rachel Catuiza,ONLINE,OLLQ
28019,KNES 19GX,52Z,Core Conditioning,·······,TBA-TBA,Danielle Altman,ONLINE,OLLQ
26557,KNES 22AX,01,Hatha YogaView Footnote,M·W····,11:00 AM-12:15 PM,Rusty Johnson,PE14,
27088,KNES 22AX,50Z,Hatha YogaView Footnote,·······,TBA-TBA,Danielle Altman,ONLINE,OL
27978,KNES 22AX,51Z,Hatha YogaView Footnote,·······,TBA-TBA,Danielle Altman,ONLINE,OLLQ
26627,KNES 22BX,01,Yoga for RelaxationView Footnote,M·W····,11:00 AM-12:15 PM,Rusty Johnson,PE14,
27803,KNES 22DX,01,Flow YogaView Footnote,·T·R···,10:30 AM-11:45 AM,Dawnis Guevara,PE15,
27979,KNES 22DX,50Z,Flow YogaView Footnote,·······,TBA-TBA,Danielle Altman,ONLINE,OLLQ
27792,KNES 22DX,52Z,Flow YogaView Footnote,·······,TBA-TBA,Danielle Altman,ONLINE,OL
27804,KNES 22EX,01,Yoga/Pilates ComboView Footnote,·T·R···,10:30 AM-11:45 AM,Dawnis Guevara,PE15,
23459,KNES 25AX,02Z,StretchingView Footnote,·······,TBA-TBA,Jason Damjanovic,ONLINE,OL
26597,KNES 25AX,50Z,StretchingView Footnote,·······,TBA-TBA,Rachel Catuiza,ONLINE,OLLQ
24083,KNES 25BX,02Z,Active Isolated StretchingView Footnote,·······,TBA-TBA,Jason Damjanovic,ONLINE,OL
26598,KNES 25BX,50Z,Active Isolated StretchingView Footnote,·······,TBA-TBA,Rachel Catuiza,ONLINE,OLLQ
27799,KNES 26AX,50Z,Basic Pilates Mat ExerciseView Footnote,·······,TBA-TBA,Danielle Altman,ONLINE,OL
28020,KNES 26AX,51Z,Basic Pilates Mat Exercise,·······,TBA-TBA,Danielle Altman,ONLINE,OLLQ
27085,KNES 26BX,50Z,Integrated Pilates Mat ExerciseView Footnote,·······,TBA-TBA,Danielle Altman,ONLINE,OL
28021,KNES 26BX,51Z,Integrated Pilates Mat Exercise,·······,TBA-TBA,Danielle Altman,ONLINE,OLLQ
27939,KNES 29A,01,Fencing Level 1View Footnote,M·W····,11:30 AM-12:20 PM,Nick Mattis,PE15,
27940,KNES 29B,01,Fencing Level 2View Footnote,M·W····,11:30 AM-12:20 PM,Nick Mattis,PE15,
26572,KNES 31AX,01,Beginning BadmintonView Footnote,M·W····,10:00 AM-11:15 AM,Rachel Catuiza,PE21W,
27102,KNES 31AX,02,Beginning BadmintonView Footnote,·T·R···,11:00 AM-12:15 PM,Jason Damjanovic,PE21W,
26573,KNES 31BX,01,Intermediate BadmintonView Footnote,M·W····,10:00 AM-11:15 AM,Rachel Catuiza,PE21W,
27103,KNES 31BX,02,Intermediate BadmintonView Footnote,·T·R···,11:00 AM-12:15 PM,Jason Damjanovic,PE21W,
26574,KNES 31CX,01,Advanced BadmintonView Footnote,M·W····,10:00 AM-11:15 AM,Rachel Catuiza,PE21W,
27104,KNES 31CX,02,Advanced BadmintonView Footnote,·T·R···,11:00 AM-12:15 PM,Jason Damjanovic,PE21W,
27801,KNES 31JX,01,Pickleball Level 1View Footnote,·T·R···,12:30 PM-02:00 PM,Cheryl Owiesny,T-CRTW,LQ
27824,KNES 31JX,02,Pickleball Level 1View Footnote,··W····,05:30 PM-08:50 PM,Cheryl Owiesny,T-CRTW,LQ
27802,KNES 31KX,01,Pickleball Level 2View Footnote,··W····,05:30 PM-08:50 PM,Cheryl Owiesny,T-CRTW,LQ
27823,KNES 31KX,02,Pickleball Level 2View Footnote,·T·R···,12:30 PM-02:00 PM,Cheryl Owiesny,T-CRTW,LQ
27822,KNES 36AX,01,Team Sport - Basketball Level 1View Footnote,·T·R···,09:30 AM-10:45 AM,Jason Damjanovic,PE21E,
26569,KNES 37AX,01,SoccerView Footnote,·T·R···,11:00 AM-12:15 PM,Cheryl Owiesny,FLDS,
26570,KNES 37BX,01,Soccer Level 2View Footnote,·T·R···,11:00 AM-12:15 PM,Cheryl Owiesny,FLDS,
26571,KNES 37CX,01,Soccer Level 3View Footnote,·T·R···,11:00 AM-12:15 PM,Cheryl Owiesny,FLDS,
26665,KNES 37E,01,Indoor SoccerView Footnote,····F··,08:30 AM-10:20 AM,Rusty Johnson,PE21W,
26669,KNES 37E,02,Indoor SoccerView Footnote,····F··,10:30 AM-12:20 PM,Rusty Johnson,PE21W,
26666,KNES 38A,01,Futsal Level 1View Footnote,····F··,08:30 AM-10:20 AM,Rusty Johnson,PE21W,
26670,KNES 38A,02,Futsal Level 1View Footnote,····F··,10:30 AM-12:20 PM,Rusty Johnson,PE21W,
26667,KNES 38B,01,Futsal Level 2View Footnote,····F··,08:30 AM-10:20 AM,Rusty Johnson,PE21W,
26671,KNES 38B,02,Futsal Level 2View Footnote,····F··,10:30 AM-12:20 PM,Rusty Johnson,PE21W,
26668,KNES 38C,01,Futsal Level 3View Footnote,····F··,08:30 AM-10:20 AM,Rusty Johnson,PE21W,
26672,KNES 38C,02,Futsal Level 3View Footnote,····F··,10:30 AM-12:20 PM,Rusty Johnson,PE21W,
23522,KNES 39AX,01Z,Volleyball Level 1View Footnote,·······,TBA-TBA,Dawnis Guevara,ONLINE,OL
24674,KNES 39BX,01Z,Volleyball Level 2View Footnote,·······,TBA-TBA,Dawnis Guevara,ONLINE,OL
23986,KNES 45,62Z,Introduction to KinesiologyView Footnote,·······,TBA-TBA,Cheryl Owiesny,ONLINE,OL
25352,KNES 45,66Z,Introduction to KinesiologyView Footnote,·······,TBA-TBA,Cheryl Owiesny,ONLINE,OLLQ
26811,KNES 47,63Z,Introduction to Women in SportsView Footnote,·······,TBA-TBA,Dawnis Guevara,ONLINE,OL
25874,KNES 48,50Z,Introduction to CoachingView Footnote,·······,TBA-TBA,Jason Damjanovic,ONLINE,OLLQ
27307,KNES 48,51Z,Introduction to CoachingView Footnote,·······,TBA-TBA,Joe D'Agostino,ONLINE,OLLQ
25839,KNES 50A,63Z,Orientation to Lifetime FitnessView Footnote,·······,TBA-TBA,Jason Damjanovic,ONLINE,OLLQ
26319,KORE 1,01Y,Elementary Korean (First Quarter)View Footnote,·T·····,04:00 PM-06:15 PM,Young Sook Kim,MLC109,HY
CLAS,···R···,04:00 PM-06:15 PM,,ONLINE,,,,
22480,KORE 1,40Z,Elementary Korean (First Quarter)View Footnote,·T·R···,06:30 PM-08:45 PM,Soo Choi,ONLINE,OL
02699,KORE 1,41Z,Elementary Korean (First Quarter)View Footnote,M·W····,04:00 PM-06:15 PM,Soo Choi,ONLINE,OL
26995,KORE 2,40Z,Elementary Korean (Second Quarter)View Footnote,M·W····,06:30 PM-08:45 PM,Young Sook Kim,ONLINE,OL
01359,LING 1,50Z,Introduction to LinguisticsView Footnote,·······,TBA-TBA,Jasmina Topalovic,ONLINE,OL
01453,MAND 1,01Y,Elementary Mandarin (First Quarter)View Footnote,·T·····,09:30 AM-11:20 AM,Hua-Fu Liu,MLC109,HY
CLAS,···R···,09:30 AM-11:20 AM,,ONLINE,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
26663,MAND 1,01Z,Elementary Mandarin (First Quarter)View Footnote,MTWR···,01:00 PM-01:50 PM,Hua-Fu Liu,ONLINE,OL
CLAS,·······,TBA-TBA,,,,,,
01458,MAND 1,41Z,Elementary Mandarin (First Quarter)View Footnote,M·W····,06:30 PM-08:45 PM,Hua-Fu Liu,ONLINE,OL
27607,MAND 3,01Z,Elementary Mandarin (Third Quarter)View Footnote,·T·····,06:30 PM-08:45 PM,April Phung,ONLINE,OL
CLAS,·······,TBA-TBA,,,,,,
20547,MAND 4,40Z,Intermediate Mandarin (First Quarter)View Footnote,·T·R···,06:30 PM-08:45 PM,Hua-Fu Liu,ONLINE,OL
26417,MAND 51,01Z,Introduction to Translation and InterpretingView Footnote,··W····,06:30 PM-08:45 PM,Yang Shao,ONLINE,OL
CLAS,·······,TBA-TBA,,,,,,
26983,MAND 53,01Z,Mandarin/English Linguistics AnalysisView Footnote,·T·····,06:30 PM-08:45 PM,Diana Li,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
27469,MATH 1A,01Z,CalculusView Footnote,MTWR···,08:30 AM-09:20 AM,Victor Legge,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
27470,MATH 1A,03,CalculusView Footnote,M·W····,08:30 AM-10:45 AM,James Mailhot,S75,
27471,MATH 1A,05,CalculusView Footnote,·T·R···,08:30 AM-10:45 AM,Zack Judson,MLC270,
27472,MATH 1A,07Y,CalculusView Footnote,MTWR···,09:30 AM-10:20 AM,Lisa Mesh,G5,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27473,MATH 1A,09Y,CalculusView Footnote,MTWR···,10:30 AM-11:20 AM,"NGUYEN, VINH KHA",MLC112,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27474,MATH 1A,11,CalculusView Footnote,M·W····,11:00 AM-01:15 PM,Loraine Moen,S45,
27475,MATH 1A,13,CalculusView Footnote,·T·R···,11:00 AM-01:15 PM,Doli Bambhania,S16,$0
27476,MATH 1A,15Z,CalculusView Footnote,MTWR···,11:30 AM-12:20 PM,Victor Legge,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
27730,MATH 1A,20D,CalculusView Footnote,M·W····,11:00 AM-01:15 PM,Doli Bambhania,S16,$0LC
27478,MATH 1A,21,CalculusView Footnote,M·W····,01:30 PM-03:45 PM,Nahrin Rashid,MLC113,
27479,MATH 1A,23,CalculusView Footnote,·T·R···,01:30 PM-03:45 PM,George Krestas,MLC260,
27480,MATH 1A,25,CalculusView Footnote,M·W····,04:00 PM-06:15 PM,Mohamad Rezvani,S45,
27481,MATH 1A,27,CalculusView Footnote,·T·R···,04:00 PM-06:15 PM,George Krestas,MLC260,
27482,MATH 1A,29Z,CalculusView Footnote,M·W····,04:00 PM-06:15 PM,Charles De Vogelaere,ONLINE,OL
27483,MATH 1A,31,CalculusView Footnote,·T·R···,06:30 PM-08:45 PM,Abdul Ghori,MLC270,
27484,MATH 1A,33Z,CalculusView Footnote,M·W····,06:30 PM-08:45 PM,Millia Ison,ONLINE,OL
27485,MATH 1A,35,CalculusView Footnote,M·W····,06:30 PM-08:45 PM,Mohamad Rezvani,MLC270,
27486,MATH 1A,61Z,CalculusView Footnote,·······,TBA-TBA,Nahrin Rashid,ONLINE,OL
27487,MATH 1A,62Z,CalculusView Footnote,·······,TBA-TBA,Millia Ison,ONLINE,OL
27488,MATH 1A,63Z,CalculusView Footnote,·······,TBA-TBA,John Jimenez,ONLINE,OL
27671,MATH 1A,MP,CalculusView Footnote,M·W····,11:00 AM-01:15 PM,John Jimenez,G10,
CLAS,·T·R···,11:00 AM-01:15 PM,,ONLINE,,,,
27674,MATH 1A,MP,CalculusView Footnote,M·W····,01:30 PM-03:45 PM,Renuka Kapur,S42,
CLAS,·T·R···,01:30 PM-03:45 PM,,ONLINE,,,,
27984,MATH 1AH,03,Calculus - HONORSView Footnote,M·W····,08:30 AM-10:45 AM,James Mailhot,S75,
27976,MATH 1AH,20D,Calculus - HONORSView Footnote,M·W····,11:00 AM-01:15 PM,Doli Bambhania,S16,LC
27489,MATH 1B,01Y,CalculusView Footnote,MTWR···,08:30 AM-09:20 AM,Vinh Nguyen,MLC113,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27491,MATH 1B,03Y,CalculusView Footnote,MTWR···,09:30 AM-10:20 AM,Vinh Nguyen,MLC113,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27490,MATH 1B,05,CalculusView Footnote,M·W····,08:30 AM-10:45 AM,Roderic Taylor,MLC260,
27492,MATH 1B,07Y,CalculusView Footnote,MTWR···,10:30 AM-11:20 AM,Maryam Adamzadeh,MLC105,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27493,MATH 1B,09,CalculusView Footnote,M·W····,11:00 AM-01:15 PM,James Mailhot,S75,
27495,MATH 1B,11,CalculusView Footnote,M·W····,01:30 PM-03:45 PM,Paul Du,MLC260,
27496,MATH 1B,13,CalculusView Footnote,·T·R···,01:30 PM-03:45 PM,Bijan Sadeghi-Hassanvand,MLC113,
27497,MATH 1B,15Z,CalculusView Footnote,M·W····,04:00 PM-06:15 PM,Millia Ison,ONLINE,OL
27498,MATH 1B,17,CalculusView Footnote,·T·R···,04:00 PM-06:15 PM,Bijan Sadeghi-Hassanvand,S45,
27499,MATH 1B,19Z,CalculusView Footnote,M·W····,06:30 PM-08:45 PM,Salvador Guerrero,ONLINE,OL
27501,MATH 1B,61Z,CalculusView Footnote,·······,TBA-TBA,Loraine Moen,ONLINE,OL
27675,MATH 1B,MP,CalculusView Footnote,M·W····,11:00 AM-01:15 PM,Nahrin Rashid,S41,
CLAS,·T·R···,11:00 AM-01:15 PM,,ONLINE,,,,
27981,MATH 1BH,05,Calculus - HONORSView Footnote,M·W····,08:30 AM-10:45 AM,Roderic Taylor,MLC260,
27985,MATH 1BH,09,Calculus - HONORSView Footnote,M·W····,11:00 AM-01:15 PM,James Mailhot,S75,
28012,MATH 1BH,19Z,Calculus - HONORSView Footnote,M·W····,06:30 PM-08:45 PM,Salvador Guerrero,ONLINE,OL
27502,MATH 1C,01Y,CalculusView Footnote,MTWR···,08:30 AM-09:20 AM,"NGUYEN, VINH KHA",MLC108,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27503,MATH 1C,05,CalculusView Footnote,·T·R···,11:00 AM-01:15 PM,James Mailhot,S75,
27504,MATH 1C,07,CalculusView Footnote,M·W····,11:00 AM-01:15 PM,"VISWANADHA, JYOTHSNA",G7,
27505,MATH 1C,11,CalculusView Footnote,·T·R···,01:30 PM-03:45 PM,Millia Ison,S42,
27506,MATH 1C,13,CalculusView Footnote,M·W····,04:00 PM-06:15 PM,Vadim Von Brzeski,MLC109,
27507,MATH 1C,15Z,CalculusView Footnote,·T·R···,04:00 PM-06:15 PM,Misako Van Der Poel,ONLINE,OL
27508,MATH 1C,17Z,CalculusView Footnote,·T·R···,06:30 PM-08:45 PM,Ducq Nguyen,ONLINE,OL
27946,MATH 1C,51Z,CalculusView Footnote,·······,TBA-TBA,Bijan Sadeghi-Hassanvand,ONLINE,OL
27986,MATH 1CH,05,Calculus - HONORSView Footnote,·T·R···,11:00 AM-01:15 PM,James Mailhot,S75,
27509,MATH 1D,01Y,CalculusView Footnote,MTWR···,08:30 AM-09:20 AM,Kejian Shi,MLC110,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27510,MATH 1D,07,CalculusView Footnote,M·W····,11:00 AM-01:15 PM,Hassan Bourgoub,S46,
27511,MATH 1D,15,CalculusView Footnote,M·W····,01:30 PM-03:45 PM,Mehrdad Khosravi,S57,
27512,MATH 1D,19,CalculusView Footnote,M·W····,04:00 PM-06:15 PM,Roderic Taylor,MLC108,
27513,MATH 1D,21Z,CalculusView Footnote,·T·R···,04:00 PM-06:15 PM,Paul Du,ONLINE,OL
27514,MATH 1D,23Z,CalculusView Footnote,·T·R···,06:30 PM-08:45 PM,Paul Du,ONLINE,OL
27947,MATH 1D,51Z,CalculusView Footnote,·······,TBA-TBA,Ducq Nguyen,ONLINE,OL
27982,MATH 1DH,19,Calculus - HONORSView Footnote,M·W····,04:00 PM-06:15 PM,Roderic Taylor,MLC108,
27515,MATH 2A,01,Differential EquationsView Footnote,·T·R···,08:30 AM-10:45 AM,Fatemeh Yarahmadi,G1,
27915,MATH 2A,07Y,Differential EquationsView Footnote,MTWR···,12:30 PM-01:20 PM,Mehrdad Khosravi,S57,HY
CLAS,····F··,12:30 PM-01:20 PM,,ONLINE,,,,
27516,MATH 2A,13Z,Differential EquationsView Footnote,·T·R···,04:00 PM-06:15 PM,Hassan Bourgoub,ONLINE,OL
27517,MATH 2B,01,Linear AlgebraView Footnote,M·W····,08:30 AM-10:45 AM,Hassan Bourgoub,S46,
27518,MATH 2B,13Z,Linear AlgebraView Footnote,M·W····,04:00 PM-06:15 PM,Misako Van Der Poel,ONLINE,OL
27519,MATH 10,01Y,Introductory StatisticsView Footnote,MTWR···,08:30 AM-09:20 AM,Danny Tran,MLC111,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27520,MATH 10,03,Introductory StatisticsView Footnote,M·W····,08:30 AM-10:45 AM,Richard Lopez,MLC270,
27521,MATH 10,05,Introductory StatisticsView Footnote,·T·R···,08:30 AM-10:45 AM,Hassan Bourgoub,S46,
27524,MATH 10,11Y,Introductory StatisticsView Footnote,MTWR···,09:30 AM-10:20 AM,"NGUYEN, VINH KHA",MLC108,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27525,MATH 10,13Y,Introductory StatisticsView Footnote,MTWR···,10:30 AM-11:20 AM,Danny Tran,MLC103,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27526,MATH 10,15,Introductory StatisticsView Footnote,M·W····,11:00 AM-01:15 PM,Rani Fischer,G6,
27527,MATH 10,17,Introductory StatisticsView Footnote,·T·R···,11:00 AM-01:15 PM,"VISWANADHA, JYOTHSNA",MLC260,
27528,MATH 10,19,Introductory StatisticsView Footnote,M·W····,11:00 AM-01:15 PM,"YU, ANDREW",MLC260,
27529,MATH 10,21,Introductory StatisticsView Footnote,·T·R···,11:00 AM-01:15 PM,"YU, ANDREW",G6,
27530,MATH 10,23,Introductory StatisticsView Footnote,M·W····,11:00 AM-01:15 PM,Usha Ganeshalingam,S56,
27531,MATH 10,25Y,Introductory StatisticsView Footnote,MTWR···,11:30 AM-12:20 PM,"NGUYEN, VINH KHA",S57,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27540,MATH 10,30Z,Introductory StatisticsView Footnote,M·W····,04:00 PM-06:15 PM,Renuka Kapur,ONLINE,OL
27534,MATH 10,31,Introductory StatisticsView Footnote,M·W····,01:30 PM-03:45 PM,"YU, ANDREW",MLC270,
27542,MATH 10,32Z,Introductory StatisticsView Footnote,M·W····,06:30 PM-08:45 PM,Usha Ganeshalingam,ONLINE,OL
27535,MATH 10,33,Introductory StatisticsView Footnote,·T·R···,01:30 PM-03:45 PM,Sithparran Vanniasegaram,MLC270,
27536,MATH 10,35Z,Introductory StatisticsView Footnote,M·W····,01:30 PM-03:45 PM,Leah Lane,ONLINE,OL
27537,MATH 10,37Z,Introductory StatisticsView Footnote,·T·R···,01:30 PM-03:45 PM,Nahrin Rashid,ONLINE,OL
27538,MATH 10,39,Introductory StatisticsView Footnote,M·W····,04:00 PM-06:15 PM,Parviz Sales,MLC103,
27543,MATH 10,40Z,Introductory StatisticsView Footnote,M·W····,06:30 PM-08:45 PM,Charles De Vogelaere,ONLINE,OL
27539,MATH 10,41,Introductory StatisticsView Footnote,·T·R···,04:00 PM-06:15 PM,Sithparran Vanniasegaram,MLC270,
27545,MATH 10,42Z,Introductory StatisticsView Footnote,·T·R···,06:30 PM-08:45 PM,Teck Ky,ONLINE,OL
27546,MATH 10,43Z,Introductory StatisticsView Footnote,·T·R···,06:30 PM-08:45 PM,Parviz Sales,ONLINE,OL
27547,MATH 10,44Z,Introductory StatisticsView Footnote,·T·R···,06:30 PM-08:45 PM,"HINGTGEN, ROBERT",ONLINE,OL
27544,MATH 10,45Z,Introductory StatisticsView Footnote,M·W····,06:30 PM-08:45 PM,Misako Van Der Poel,ONLINE,OL
27541,MATH 10,60Z,Introductory StatisticsView Footnote,·······,TBA-TBA,Loraine Moen,ONLINE,OL
27548,MATH 10,61Z,Introductory StatisticsView Footnote,·······,TBA-TBA,Loraine Moen,ONLINE,OL
27549,MATH 10,62Z,Introductory StatisticsView Footnote,·······,TBA-TBA,Richard Lopez,ONLINE,OL
27550,MATH 10,63Z,Introductory StatisticsView Footnote,·······,TBA-TBA,Danny Tran,ONLINE,OL
27551,MATH 10,64Z,Introductory StatisticsView Footnote,·······,TBA-TBA,Richard Lopez,ONLINE,OL
27553,MATH 10,66Z,Introductory StatisticsView Footnote,·······,TBA-TBA,Fatemeh Yarahmadi,ONLINE,OL
27554,MATH 10,67Z,Introductory StatisticsView Footnote,·······,TBA-TBA,Leah Lane,ONLINE,OL
27555,MATH 10,68Z,Introductory StatisticsView Footnote,·······,TBA-TBA,Danny Tran,ONLINE,OL
27556,MATH 10,69Z,Introductory StatisticsView Footnote,·······,TBA-TBA,Usha Ganeshalingam,ONLINE,OL
27557,MATH 10,70Z,Introductory StatisticsView Footnote,·······,TBA-TBA,Usha Ganeshalingam,ONLINE,OL
27662,MATH 10,MP,Introductory StatisticsView Footnote,MTWR···,08:30 AM-10:45 AM,Gregory Stachnick,ONLINE,
27663,MATH 10,MP,Introductory StatisticsView Footnote,MTWR···,11:00 AM-01:15 PM,Lisa Mesh,G5,
27615,MATH 10,Q0,Introductory StatisticsView Footnote,M·W····,08:30 AM-10:45 AM,Neelam Shukla,G7,
27617,MATH 10,Q0,Introductory StatisticsView Footnote,M·W····,11:00 AM-01:15 PM,Neelam Shukla,L25,
27619,MATH 10,Q0,Introductory StatisticsView Footnote,M·W····,01:30 PM-03:45 PM,"CHENG, ALEX",S49,
27559,MATH 11,09Y,Finite MathematicsView Footnote,MTWR···,11:30 AM-12:20 PM,Kejian Shi,MLC103,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27560,MATH 11,25Z,Finite MathematicsView Footnote,·T·R···,04:00 PM-06:15 PM,Lilit Mazmanyan,ONLINE,OL
27561,MATH 11,60Z,Finite MathematicsView Footnote,·······,TBA-TBA,Kejian Shi,ONLINE,OL
27562,MATH 12,15Y,Introductory Calculus for Business and Social ScienceView Footnote,MTWR···,12:30 PM-01:20 PM,Kejian Shi,L35,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27563,MATH 12,61Z,Introductory Calculus for Business and Social ScienceView Footnote,·······,TBA-TBA,Kejian Shi,ONLINE,OL
27564,MATH 22,05,Discrete MathematicsView Footnote,M·W····,01:30 PM-03:45 PM,Roderic Taylor,MLC108,
27566,MATH 22,23,Discrete MathematicsView Footnote,M·W····,04:00 PM-06:15 PM,Fatemeh Yarahmadi,MLC113,
27565,MATH 22,25Z,Discrete MathematicsView Footnote,·T·R···,06:30 PM-08:45 PM,Reza Shariatmadari,ONLINE,OL
27948,MATH 22,51Z,Discrete MathematicsView Footnote,·······,TBA-TBA,Lilit Mazmanyan,ONLINE,OL
27983,MATH 22H,05,Discrete Mathematics - HONORSView Footnote,M·W····,01:30 PM-03:45 PM,Roderic Taylor,MLC108,
27568,MATH 31,03,Precalculus IView Footnote,M·W····,08:30 AM-10:45 AM,Zack Judson,G1,
27569,MATH 31,05,Precalculus IView Footnote,·T·R···,08:30 AM-10:45 AM,Reza Shariatmadari,G10,
27572,MATH 31,11,Precalculus IView Footnote,M·W····,11:00 AM-01:15 PM,Linlin Zhang,L61,
27574,MATH 31,15Y,Precalculus IView Footnote,MTWR···,11:30 AM-12:20 PM,Sundararajan Arabhi,MLC105,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27575,MATH 31,19,Precalculus IView Footnote,M·W····,01:30 PM-03:45 PM,Linlin Zhang,L61,
27576,MATH 31,23,Precalculus IView Footnote,·T·R···,01:30 PM-03:45 PM,Hassan Bourgoub,S46,
27578,MATH 31,27Z,Precalculus IView Footnote,M·W····,04:00 PM-06:15 PM,Hemendra Shah,ONLINE,OL
27579,MATH 31,29,Precalculus IView Footnote,·T·R···,04:00 PM-06:15 PM,Hung Nguyen,MLC108,
27580,MATH 31,31Z,Precalculus IView Footnote,·T·R···,04:00 PM-06:15 PM,Hemendra Shah,ONLINE,OL
27581,MATH 31,33Z,Precalculus IView Footnote,·T·R···,06:30 PM-08:45 PM,Lilit Mazmanyan,ONLINE,OL
27582,MATH 31,35Z,Precalculus IView Footnote,M·W····,06:30 PM-08:45 PM,George Krestas,ONLINE,OL
27666,MATH 31,MP,Precalculus IView Footnote,MTWR···,11:00 AM-01:15 PM,Zack Judson,MLC270,
27668,MATH 31,MP,Precalculus IView Footnote,MTWR···,08:30 AM-10:45 AM,"VISWANADHA, JYOTHSNA",S16,
27599,MATH 31,Q0,Precalculus IView Footnote,M·W····,08:30 AM-10:45 AM,Maryam Arvizu,G2,
27601,MATH 31,Q0,Precalculus IView Footnote,M·W····,11:00 AM-01:15 PM,Maryam Arvizu,L62,
27603,MATH 31,Q0,Precalculus IView Footnote,M·W····,01:30 PM-03:45 PM,Mohamad Rezvani,G6,
27583,MATH 32,03Y,Precalculus IIView Footnote,MTWR···,08:30 AM-09:20 AM,Rani Fischer,MLC112,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27587,MATH 32,21,Precalculus IIView Footnote,M·W····,01:30 PM-03:45 PM,Howard Rudolf,MCC-12,
27586,MATH 32,22,Precalculus IIView Footnote,·T·R···,01:30 PM-03:45 PM,"YU, ANDREW",MLC110,
27588,MATH 32,25,Precalculus IIView Footnote,M·W····,04:00 PM-06:15 PM,Howard Rudolf,MLC111,
27590,MATH 32,27,Precalculus IIView Footnote,·T·R···,04:00 PM-06:15 PM,"YU, ANDREW",MLC110,
27584,MATH 32,32Y,Precalculus IIView Footnote,MTWR···,09:30 AM-10:20 AM,Rani Fischer,MLC112,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27591,MATH 32,35Z,Precalculus IIView Footnote,M·W····,06:30 PM-08:45 PM,Richard Lopez,ONLINE,OL
27592,MATH 44,13Z,"Mathematics in Art, Culture, and Society: A Liberal Arts Math ClassView Footnote",·T·R···,04:00 PM-06:15 PM,William Wilson,ONLINE,OL
27593,MATH 44,15Z,"Mathematics in Art, Culture, and Society: A Liberal Arts Math ClassView Footnote",M·W····,04:00 PM-06:15 PM,Maryam Arvizu,ONLINE,OL
27594,MATH 46,13Z,Mathematics for Elementary EducationView Footnote,·T·R···,04:00 PM-06:15 PM,Reza Shariatmadari,ONLINE,OL
24286,MET 10,01Y,Weather and Climate ProcessesView Footnote,M·W····,09:30 AM-10:45 AM,Alicia Mullens,S42,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
